story_id,root_id,conclusion_id
400000035,0,5
400000036,0,5
801001001,0,1
801001002,0,1
801001003,0,2
801002001,0,1
830001001,0,1
830001002,0,1
830001003,0,1
801002002,0,1
801002003,0,2
830002001,0,1
830002002,0,1
830002003,0,1
801003001,0,1
801003002,0,1
830003001,0,1
830003002,0,1
830003003,0,1
801003003,0,2
801004001,0,1
801004002,0,1
801004003,0,2
820001001,0,1
820001002,0,1
801005001,0,1
801005002,0,1
801005003,0,2
801006001,0,1
830004001,0,1
830004002,0,1
830004003,0,1
801006002,0,1
801006003,0,2
830005001,0,1
830005002,0,1
830005003,0,1
801007001,0,1
801007002,0,1
820002001,0,1
820002002,0,1
801007003,0,2
801008001,0,1
801008002,0,1
801008003,0,2
830006001,0,1
830006002,0,1
830006003,0,1
801009001,0,1
801009002,0,1
820003001,0,1
820003002,0,1
801009003,0,2
801010001,0,1
830022001,0,1
830022002,0,1
830022003,0,1
801010002,0,1
801010003,0,2
830007001,0,1
830007002,0,1
830007003,0,1
801011001,0,1
801011002,0,1
801011003,0,2
801012001,0,1
801012002,0,1
801012003,0,2
820004001,0,1
820004002,0,1
801013001,0,1
801013002,0,1
820005001,0,1
820005002,0,1
801013003,0,2
801014001,0,1
801014002,0,1
801014003,0,2
801015001,0,1
801015002,0,1
801015003,0,2
830009001,0,1
830009002,0,1
830009003,0,1
801017001,0,1
801017002,0,1
830010001,0,1
830010002,0,1
830010003,0,1
801017003,0,2
801018001,0,1
820006001,0,1
820006002,0,1
801018002,0,1
801018003,0,2
820007001,0,1
820007002,0,1
801019001,0,1
801019002,0,1
801019003,0,2
801020001,0,1
801020002,0,1
801020003,0,2
820009001,0,1
820009002,0,1
801021001,0,1
801021002,0,1
820010001,0,1
820010002,0,1
801021003,0,2
801022001,0,1
820011001,0,1
820011002,0,1
801022002,0,1
801022003,0,2
830023001,0,1
830023002,0,1
830023003,0,1
801023001,0,1
801023002,0,1
830011001,0,1
830011002,0,1
830011003,0,1
801023003,0,2
801024001,0,1
820012001,0,1
820012002,0,1
801024002,0,1
801024003,0,2
830012001,0,1
830012002,0,1
830012003,0,1
801025001,0,1
801025002,0,1
830013001,0,1
830013002,0,1
830013003,0,1
801025003,0,2
801026001,0,1
820013001,0,1
820013002,0,1
801026002,0,1
801026003,0,2
830014001,0,1
830014002,0,1
830014003,0,1
801027001,0,1
801027002,0,1
830015001,0,1
830015002,0,1
830015003,0,1
801027003,0,2
801029001,0,1
830016001,0,1
830016002,0,1
830016003,0,1
801029002,0,1
801029003,0,2
830017001,0,1
830017002,0,1
830017003,0,1
801030001,0,1
801030002,0,1
820014001,0,1
820014002,0,1
801030003,0,2
801031001,0,1
801031002,0,1
801031003,0,2
801032001,0,1
801032002,0,1
801032003,0,2
830019001,0,1
830019002,0,1
830019003,0,1
801035001,0,1
801035002,0,1
830020001,0,1
830020002,0,1
